sku,name,brand,silo,level,category,surface,price,color,sizes,description,badge,angle1 (main),angle2,angle3,angle4,angle5,angle6
GK-SOC-001,New Balance Furon V7 Pro TF #5,New Balance,Velocidade,Pro,Chuteiras,TF,4500,Crimson / Bone,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Pro desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-001-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-001-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-001-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-001-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-001-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-001-6.png
GK-SOC-002,Joma Top Flex Rebound TF #6,Joma,Clássico,Academy,Chuteiras,TF,8900,Triple Black,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Academy desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-002-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-002-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-002-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-002-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-002-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-002-6.png
GK-SOC-003,Nike Phantom GX 2 TF #8,Nike,Controlo,Club,Chuteiras,TF,4500,Crimson / Bone,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Club desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-003-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-003-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-003-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-003-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-003-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-003-6.png
GK-SOC-004,Puma Future Ultimate TF #9,Puma,Agilidade,Elite,Chuteiras,TF,12500,White / Gold,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Elite desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-004-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-004-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-004-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-004-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-004-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-004-6.png
GK-SOC-005,New Balance Tekela V4 Pro TF #11,New Balance,Controlo,Academy,Chuteiras,TF,4500,Triple Black,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Academy desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-005-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-005-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-005-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-005-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-005-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-005-6.png
GK-SOC-006,Nike Phantom GX 2 TF #14,Nike,Controlo,Elite,Chuteiras,TF,4500,Triple Black,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Elite desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Mais Vendido,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-006-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-006-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-006-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-006-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-006-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-006-6.png
GK-SOC-007,Adidas Predator Elite TF #15,Adidas,Precisão,Academy,Chuteiras,TF,6800,Triple Black,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Academy desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-007-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-007-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-007-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-007-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-007-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-007-6.png
GK-SOC-008,New Balance Tekela V4 Pro TF #16,New Balance,Controlo,Club,Chuteiras,TF,6800,Triple Black,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Club desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-008-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-008-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-008-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-008-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-008-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-008-6.png
GK-SOC-009,Adidas Predator Elite TF #18,Adidas,Precisão,Club,Chuteiras,TF,12500,Black / Gold,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Club desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-009-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-009-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-009-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-009-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-009-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-009-6.png
GK-SOC-010,Nike Phantom GX 2 TF #19,Nike,Controlo,Elite,Chuteiras,TF,6800,White / Gold,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Elite desenhada para tração elite e controlo superior no relvado TF. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-010-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-010-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-010-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-010-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-010-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/society/gk-soc-010-6.png
