sku,name,brand,silo,level,category,surface,price,color,sizes,description,badge,angle1 (main),angle2,angle3,angle4,angle5,angle6
GK-CMP-001,Puma Future Ultimate FG #1,Puma,Agilidade,Club,Chuteiras,FG,21500,Triple Black,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Club desenhada para tração elite e controlo superior no relvado FG. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-001-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-001-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-001-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-001-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-001-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-001-6.png
GK-CMP-002,Puma Future Ultimate FG #2,Puma,Agilidade,Club,Chuteiras,FG,8900,Navy / Volt,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Club desenhada para tração elite e controlo superior no relvado FG. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-002-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-002-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-002-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-002-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-002-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-002-6.png
GK-CMP-003,Joma Top Flex Rebound AG #3,Joma,Clássico,Club,Chuteiras,AG,12500,Black / Gold,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Club desenhada para tração elite e controlo superior no relvado AG. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-003-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-003-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-003-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-003-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-003-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-003-6.png
GK-CMP-004,Adidas Predator Elite IN #7,Adidas,Precisão,Pro,Chuteiras,IN,6800,Volt / Silver,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Pro desenhada para tração elite e controlo superior no relvado IN. Tamanhos disponíveis do 35 ao 46.,Mais Vendido,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-004-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-004-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-004-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-004-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-004-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-004-6.png
GK-CMP-005,Joma Top Flex Rebound FG #10,Joma,Clássico,Club,Chuteiras,FG,15800,Crimson / Bone,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Club desenhada para tração elite e controlo superior no relvado FG. Tamanhos disponíveis do 35 ao 46.,Edição Especial,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-005-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-005-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-005-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-005-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-005-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-005-6.png
GK-CMP-006,Puma Ultra Ultimate FG #12,Puma,Velocidade,Academy,Chuteiras,FG,19200,Triple Black,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Academy desenhada para tração elite e controlo superior no relvado FG. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-006-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-006-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-006-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-006-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-006-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-006-6.png
GK-CMP-007,Joma Top Flex Rebound MG #13,Joma,Clássico,Elite,Chuteiras,MG,15800,Crimson / Bone,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Elite desenhada para tração elite e controlo superior no relvado MG. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-007-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-007-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-007-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-007-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-007-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-007-6.png
GK-CMP-008,New Balance Tekela V4 Pro HG #17,New Balance,Controlo,Elite,Chuteiras,HG,19200,Phantom / Gold,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Elite desenhada para tração elite e controlo superior no relvado HG. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-008-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-008-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-008-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-008-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-008-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-008-6.png
GK-CMP-009,Nike Phantom GX 2 SG #21,Nike,Controlo,Club,Chuteiras,SG,4500,Volt / Silver,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Club desenhada para tração elite e controlo superior no relvado SG. Tamanhos disponíveis do 35 ao 46.,Mais Vendido,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-009-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-009-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-009-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-009-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-009-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-009-6.png
GK-CMP-010,Adidas F50 League HG #22,Adidas,Velocidade,Elite,Chuteiras,HG,19200,Volt / Silver,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",Edição Elite desenhada para tração elite e controlo superior no relvado HG. Tamanhos disponíveis do 35 ao 46.,Stock Verificado,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-010-1.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-010-2.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-010-3.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-010-4.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-010-5.png,https://goldenkicks.co.mz/assets/PRODUCTS/campo/gk-cmp-010-6.png
